,,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
2015,2.0,107,69,39.0,162,51,57.0,260,44,33.0,,15.0,125,33.0,42.0,57,86,20.0,171.0,9.0,6.0
2014,1.0,129,67,36.0,185,65,73.0,284,43,36.0,,15.0,105,28.0,36.0,84,62,14.0,179.0,23.0,6.0
1977,,14,15,5.0,11,2,1.0,24,8,9.0,,4.0,14,3.0,5.0,4,11,,12.0,4.0,1.0
2009,2.0,108,72,48.0,198,52,25.0,224,60,49.0,17.0,16.0,90,17.0,51.0,83,71,8.0,157.0,12.0,
2010,2.0,108,59,50.0,169,51,35.0,211,55,44.0,13.0,14.0,78,10.0,32.0,85,46,8.0,135.0,7.0,6.0
1999,,38,20,13.0,100,29,5.0,113,29,23.0,6.0,7.0,26,5.0,24.0,42,29,6.0,53.0,3.0,3.0
2001,1.0,61,40,18.0,101,39,5.0,100,31,25.0,4.0,12.0,23,6.0,22.0,53,25,10.0,66.0,12.0,2.0
2008,1.0,99,63,33.0,169,62,26.0,233,56,43.0,18.0,24.0,76,20.0,29.0,84,52,5.0,127.0,18.0,2.0
2011,,115,62,46.0,172,48,49.0,214,72,46.0,14.0,8.0,78,17.0,38.0,75,56,10.0,146.0,9.0,3.0
2002,,72,45,21.0,104,41,10.0,130,39,20.0,11.0,8.0,30,4.0,28.0,48,28,3.0,84.0,7.0,1.0
1994,,61,33,8.0,88,26,2.0,83,35,24.0,3.0,3.0,13,3.0,10.0,35,20,5.0,45.0,3.0,8.0
2012,4.0,99,50,40.0,176,54,49.0,232,42,34.0,6.0,13.0,104,22.0,33.0,79,54,14.0,160.0,10.0,4.0
2003,,73,41,29.0,111,46,11.0,110,44,27.0,5.0,9.0,24,11.0,19.0,49,41,3.0,73.0,8.0,4.0
1997,,59,35,10.0,77,28,2.0,83,33,21.0,3.0,7.0,18,4.0,21.0,32,29,1.0,61.0,1.0,
2013,3.0,121,67,42.0,175,71,62.0,253,48,39.0,,14.0,102,30.0,38.0,65,61,10.0,175.0,7.0,3.0
1985,,28,28,2.0,51,14,1.0,40,12,14.0,,1.0,14,2.0,3.0,21,17,,24.0,2.0,3.0
2005,1.0,70,53,26.0,143,45,17.0,182,57,35.0,10.0,10.0,56,13.0,29.0,62,25,3.0,92.0,5.0,2.0
2006,,80,55,39.0,155,53,16.0,197,65,34.0,10.0,12.0,56,12.0,30.0,70,30,8.0,114.0,7.0,1.0
2004,,75,49,23.0,125,32,12.0,141,40,19.0,7.0,7.0,29,13.0,27.0,63,34,6.0,74.0,8.0,7.0
1972,,10,5,1.0,13,7,1.0,16,2,1.0,,,8,2.0,4.0,5,4,,10.0,,5.0
1980,,27,14,,25,9,,32,4,7.0,2.0,5.0,16,4.0,9.0,9,11,1.0,25.0,2.0,5.0
2007,,95,60,32.0,151,65,19.0,197,45,47.0,17.0,13.0,79,15.0,34.0,74,41,6.0,125.0,6.0,5.0
1979,,8,8,1.0,19,8,,30,5,,,3.0,11,4.0,4.0,8,10,,16.0,3.0,4.0
1984,,33,22,1.0,38,15,2.0,40,9,15.0,,5.0,18,11.0,4.0,19,27,1.0,24.0,3.0,
