,popularity,budget,revenue,original_title,genres,production_companies,vote_count,vote_average,release_year
0,32.985763,150000000,1513528810,Jurassic World,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015
1,28.419936,150000000,378436354,Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015
2,13.112507,110000000,295238201,Insurgent,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015
4,9.335014,190000000,1506249360,Furious 7,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015
5,9.1107,135000000,532950503,The Revenant,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015
6,8.654359,155000000,440603537,Terminator Genisys,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2598,5.8,2015
7,7.6674,108000000,595380321,The Martian,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015
8,7.40416499999999,74000000,1156730962,Minions,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,2893,6.5,2015
9,6.326804,175000000,853708609,Inside Out,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015
10,6.200282,245000000,880674609,Spectre,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,3254,6.2,2015
11,6.189369,176000003,183987723,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015
12,6.118847,15000000,36869414,Ex Machina,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015
13,5.984995,88000000,243637091,Pixels,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,1575,5.8,2015
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015
15,5.8984,44000000,155760117,The Hateful Eight,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015
16,5.749758,48000000,325771424,Taken 3,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|Cin̩+,1578,6.1,2015
17,5.5731839999999995,130000000,518602163,Ant-Man,Science Fiction|Action|Adventure,Marvel Studios,3779,7.0,2015
18,5.556818,95000000,542351353,Cinderella,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015
20,5.4621379999999995,190000000,209035668,Tomorrowland,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,1899,6.2,2015
21,5.337064,30000000,91709827,Southpaw,Action|Drama,Escape Artists|Riche-Ludwig Productions,1386,7.3,2015
22,4.907832,110000000,470490832,San Andreas,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015
23,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,2015
24,4.648046,28000000,133346506,The Big Short,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,2015
25,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349,7.1,2015
26,4.5645489999999995,68000000,215863606,Ted 2,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666,6.3,2015
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015
28,4.062293,20000000,88346473,Spotlight,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015
30,3.927333,0,29355203,Mr. Holmes,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,425,6.4,2015
31,3.899557,49000000,102069268,Chappie,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015
32,3.877764,29000000,287506194,Pitch Perfect 2,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,2015
33,3.6482099999999997,40000000,162610473,Bridge of Spies,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,2015
34,3.6445410000000003,58000000,150170815,Goosebumps,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015
35,3.557846,6000000,35401758,Room,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,2015
36,3.358321,0,22354572,Solace,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,2015
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015
38,3.23737,50000000,71561644,Run All Night,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015
39,3.227329,11000000,62076141,Brooklyn,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015
41,3.080505,90000000,140396650,The Last Witch Hunter,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015
42,3.0795220000000003,30000000,34441873,Steve Jobs,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015
43,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015
44,3.025852,25000000,42629776,The Age of Adaline,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015
45,3.023253,10000000,14333790,Hardcore Henry,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,2015
46,2.976436,135000000,368871007,Home,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015
47,2.968254,12000000,85512300,Paper Towns,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,2015
48,2.93234,30000000,0,Wild Card,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015
49,2.8851259999999996,4000000,9064511,The Lobster,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015
50,2.883233,11800000,40272135,Carol,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,2015
51,2.8148020000000002,35000000,194564672,The Intern,Comedy,Waverly Films|Warner Bros.,1255,7.1,2015
52,2.7980169999999998,55000000,203427584,Everest,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015
53,2.793297,60000000,101134059,Joy,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015
54,2.6144990000000004,105000000,133718711,Point Break,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,2015
55,2.584264,20000000,36606743,Burnt,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,2015
56,2.578919,26000000,30523226,Self/less,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,2015
57,2.575711,60000000,30418560,Mortdecai,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,2015
58,2.557859,15000000,64191523,The Danish Girl,Drama,Pretty Pictures|Working Title Films|Art̩mis Productions|Le Tax Shelter du Gouvernement F̩d̩ral de Belgique|Taxshelter. be,867,7.3,2015
59,2.5507470000000003,70000000,17752940,Blackhat,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,2015
60,2.487849,30000000,84025816,Sicario,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,1479,7.1,2015
61,2.4870419999999998,120000001,167977596,Fantastic Four,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),1565,4.4,2015
62,2.46449,3500000,40423945,The Witch,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,700,5.8,2015
